Test,Before,After,Percentage
crypto_secp256r1_inline_tests::secp256r1_address,7657,7599,0.76
crypto_secp256r1_inline_tests::secp256r1_bits,2980,2785,6.54
crypto_secp256r1_inline_tests::secp256r1_codec,3799,3732,1.76
crypto_secp256r1_inline_tests::secp256r1_eq,795,759,4.53
crypto_secp256r1_inline_tests::secp256r1_evm_address,7649,7592,0.75
crypto_secp256r1_inline_tests::secp256r1_from_b256_tuple,14903,14129,5.19
crypto_secp256r1_inline_tests::secp256r1_from_b512,15095,14318,5.15
crypto_secp256r1_inline_tests::secp256r1_hash,647,626,3.25
crypto_secp256r1_inline_tests::secp256r1_into_b256_tuple,706,688,2.55
crypto_secp256r1_inline_tests::secp256r1_into_b512,1051,1027,2.28
crypto_secp256r1_inline_tests::secp256r1_into_bytes,24621,24003,2.51
crypto_secp256r1_inline_tests::secp256r1_new,5442,5121,5.90
crypto_secp256r1_inline_tests::secp256r1_recover,7395,7346,0.66
crypto_secp256r1_inline_tests::secp256r1_try_from_bytes,16776,15927,5.06
crypto_secp256r1_inline_tests::secp256r1_verify,8793,8684,1.24
crypto_secp256r1_inline_tests::secp256r1_verify_address,8421,8336,1.01
crypto_secp256r1_inline_tests::secp256r1_verify_evm_address,8407,8323,1.00
crypto_signature_inline_tests::signature_address,7518,7395,1.64
crypto_signature_inline_tests::signature_as_ed25519,684,662,3.22
crypto_signature_inline_tests::signature_as_secp256k1,682,660,3.23
crypto_signature_inline_tests::signature_as_secp256r1,682,660,3.23
crypto_signature_inline_tests::signature_bits,8861,8279,6.57
crypto_signature_inline_tests::signature_codec,3905,3834,1.82
crypto_signature_inline_tests::signature_eq,5255,5084,3.25
crypto_signature_inline_tests::signature_evm_address,7502,7381,1.61
crypto_signature_inline_tests::signature_is_ed25519,420,408,2.86
crypto_signature_inline_tests::signature_is_secp256k1,413,401,2.91
crypto_signature_inline_tests::signature_is_secp256r1,418,406,2.87
crypto_signature_inline_tests::signature_recover,7315,7196,1.63
crypto_signature_inline_tests::signature_verify,10732,10585,1.37
crypto_signature_inline_tests::signature_verify_address,7431,7311,1.61
crypto_signature_inline_tests::signature_verify_evm_address,7445,7328,1.57
crypto_zk_inline_tests::revert_zk_alt_bn128_add_fail,4761,4708,1.11
crypto_zk_inline_tests::revert_zk_alt_bn128_mul_fail,4482,4439,0.96
crypto_zk_inline_tests::revert_zk_alt_bn128_pairing_check,123528,123426,0.08
crypto_zk_inline_tests::zk_alt_bn128_add,26857,26507,1.30
crypto_zk_inline_tests::zk_alt_bn128_mul,25448,25148,1.18
crypto_zk_inline_tests::zk_alt_bn128_pairing_check,1146128,1144671,0.13
ecr_inline_tests::ecr_ec_recover,2699,2679,0.74
ecr_inline_tests::ecr_ec_recover_address,4012,3952,1.50
ecr_inline_tests::ecr_ec_recover_address_r1,8110,8050,0.74
ecr_inline_tests::ecr_ec_recover_r1,6797,6777,0.29
ecr_inline_tests::ecr_ed_verify,19161,18981,0.94
ecr_inline_tests::ecr_ed_verify_fail,259,251,3.09
flags_inline_tests::flags_disable_panic_on_overflow,75,73,2.67
flags_inline_tests::flags_disable_panic_on_overflow_preserving,111,107,3.60
flags_inline_tests::flags_disable_panic_on_unsafe_math,102,96,5.88
flags_inline_tests::flags_disable_panic_on_unsafe_math_preserving,165,153,7.27
flags_inline_tests::test_panic_on_overflow_enabled,211,200,5.21
flags_inline_tests::test_panic_on_unsafe_math_enabled,211,200,5.21
hash_inline_tests::hash_hasher_keccak256_b256,1225,1187,3.10
hash_inline_tests::hash_hasher_keccak256_bool,795,773,2.77
hash_inline_tests::hash_hasher_keccak256_bytes,747,725,2.95
hash_inline_tests::hash_hasher_keccak256_str,1227,1191,2.93
hash_inline_tests::hash_hasher_keccak256_str_array,1138,1102,3.16
hash_inline_tests::hash_hasher_keccak256_u16,1136,1098,3.35
hash_inline_tests::hash_hasher_keccak256_u256,1225,1187,3.10
hash_inline_tests::hash_hasher_keccak256_u32,1136,1098,3.35
hash_inline_tests::hash_hasher_keccak256_u64,1134,1096,3.35
hash_inline_tests::hash_hasher_keccak256_u8,792,770,2.78
hash_inline_tests::hash_hasher_sha256_10_array,11660,11296,3.12
hash_inline_tests::hash_hasher_sha256_1_array,1184,1140,3.72
hash_inline_tests::hash_hasher_sha256_2_array,2345,2269,3.24
hash_inline_tests::hash_hasher_sha256_3_tuple,3469,3357,3.23
hash_inline_tests::hash_hasher_sha256_4_array,4641,4493,3.19
hash_inline_tests::hash_hasher_sha256_4_tuple,4617,4469,3.21
hash_inline_tests::hash_hasher_sha256_5_array,5789,5605,3.18
hash_inline_tests::hash_hasher_sha256_5_tuple,5765,5581,3.19
hash_inline_tests::hash_hasher_sha256_6_array,7011,6791,3.14
hash_inline_tests::hash_hasher_sha256_8_array,9335,9043,3.13
hash_inline_tests::hash_hasher_sha256_9_array,10498,10170,3.12
hash_inline_tests::hash_hasher_sha256_b256,1207,1169,3.15
hash_inline_tests::hash_hasher_sha256_bool,777,755,2.83
hash_inline_tests::hash_hasher_sha256_bytes,827,801,3.14
hash_inline_tests::hash_hasher_sha256_u16,1118,1080,3.40
hash_inline_tests::hash_hasher_sha256_u256,1207,1169,3.15
hash_inline_tests::hash_hasher_sha256_u32,1118,1080,3.40
hash_inline_tests::hash_hasher_sha256_u64,1116,1078,3.41
hash_inline_tests::hash_hasher_sha256_u8,774,752,2.84
hash_inline_tests::hash_hasher_write_str,1209,1173,2.98
hash_inline_tests::hash_hasher_write_str_array,1120,1084,3.21
hash_inline_tests::hash_keccak256,1197,1157,3.34
hash_inline_tests::hash_sha256,1179,1139,3.39
hash_inline_tests::hash_sha256_str_array,1158,1118,3.45
identity_inline_tests::identity_as_address,1268,1226,3.31
identity_inline_tests::identity_as_contract_id,1268,1226,3.31
identity_inline_tests::identity_bits,899,877,2.45
identity_inline_tests::identity_eq,1351,1303,3.55
identity_inline_tests::identity_hash,5359,5217,2.65
identity_inline_tests::identity_is_address,681,659,3.23
identity_inline_tests::identity_is_contract_id,685,663,3.21
identity_inline_tests::identity_ne,6898,6670,3.31
math_inline_tests::math_b256_zero,83,81,2.41
math_inline_tests::math_log2_u16,156,151,3.21
math_inline_tests::math_log2_u256,1639,1543,5.86
math_inline_tests::math_log2_u32,156,151,3.21
math_inline_tests::math_log2_u64,156,151,3.21
math_inline_tests::math_log2_u8,129,125,3.10
